Month,Price,Change

Jan 1995,"64,646.67",-
Feb 1995,"60,124.75",-6.99%
Mar 1995,"57,129.68",-4.98%
Apr 1995,"58,084.48",1.67%
May 1995,"55,376.82",-4.66%
Jun 1995,"55,896.80",0.94%
Jul 1995,"58,367.28",4.42%
Aug 1995,"59,652.03",2.20%
Sep 1995,"58,569.61",-1.81%
Oct 1995,"57,866.17",-1.20%
Nov 1995,"57,474.21",-0.68%
Dec 1995,"57,918.80",0.77%
Jan 1996,"56,844.64",-1.85%
Feb 1996,"58,268.32",2.50%
Mar 1996,"55,542.26",-4.68%
Apr 1996,"54,345.96",-2.15%
May 1996,"55,609.00",2.32%
Jun 1996,"51,871.20",-6.72%
Jul 1996,"51,820.98",-0.10%
Aug 1996,"52,230.11",0.79%
Sep 1996,"50,287.09",-3.72%
Oct 1996,"47,630.50",-5.28%
Nov 1996,"51,800.50",8.75%
Dec 1996,"53,767.89",3.80%
Jan 1997,"56,520.88",5.12%
Feb 1997,"56,704.19",0.32%
Mar 1997,"58,523.56",3.21%
Apr 1997,"55,929.29",-4.43%
May 1997,"58,209.80",4.08%
Jun 1997,"56,134.71",-3.56%
Jul 1997,"56,891.49",1.35%
Aug 1997,"61,454.30",8.02%
Sep 1997,"58,650.38",-4.56%
Oct 1997,"58,252.04",-0.68%
Nov 1997,"59,406.69",1.98%
Dec 1997,"60,028.79",1.05%
Jan 1998,"58,476.98",-2.59%
Feb 1998,"57,029.34",-2.48%
Mar 1998,"56,795.03",-0.41%
Apr 1998,"56,236.12",-0.98%
May 1998,"55,096.35",-2.03%
Jun 1998,"55,227.92",0.24%
Jul 1998,"55,655.09",0.77%
Aug 1998,"56,027.24",0.67%
Sep 1998,"57,074.54",1.87%
Oct 1998,"55,220.42",-3.25%
Nov 1998,"54,876.71",-0.62%
Dec 1998,"53,152.61",-3.14%
Jan 1999,"51,794.30",-2.56%
Feb 1999,"50,406.14",-2.68%
Mar 1999,"50,142.74",-0.52%
Apr 1999,"54,612.52",8.91%
May 1999,"56,605.64",3.65%
Jun 1999,"56,738.89",0.24%
Jul 1999,"60,763.66",7.09%
Aug 1999,"62,206.47",2.37%
Sep 1999,"64,979.87",4.46%
Oct 1999,"64,069.32",-1.40%
Nov 1999,"63,914.68",-0.24%
Dec 1999,"67,596.23",5.76%
Jan 2000,"73,179.40",8.26%
Feb 2000,"72,845.25",-0.46%
Mar 2000,"68,741.36",-5.63%
Apr 2000,"63,588.13",-7.50%
May 2000,"64,495.42",1.43%
Jun 2000,"67,318.43",4.38%
Jul 2000,"70,010.55",4.00%
Aug 2000,"69,800.20",-0.30%
Sep 2000,"73,477.93",5.27%
Oct 2000,"69,541.84",-5.36%
Nov 2000,"68,950.52",-0.85%
Dec 2000,"73,183.79",6.14%
Jan 2001,"75,192.35",2.74%
Feb 2001,"74,633.05",-0.74%
Mar 2001,"70,358.26",-5.73%
Apr 2001,"70,034.26",-0.46%
May 2001,"72,194.89",3.09%
Jun 2001,"68,915.83",-4.54%
Jul 2001,"66,771.20",-3.11%
Aug 2001,"64,896.71",-2.81%
Sep 2001,"64,062.91",-1.28%
Oct 2001,"61,586.26",-3.87%
Nov 2001,"63,714.59",3.46%
Dec 2001,"64,430.71",1.12%
Jan 2002,"66,151.77",2.67%
Feb 2002,"66,675.22",0.79%
Mar 2002,"68,478.92",2.71%
Apr 2002,"67,019.23",-2.13%
May 2002,"65,821.70",-1.79%
Jun 2002,"66,291.88",0.71%
Jul 2002,"65,250.50",-1.57%
Aug 2002,"62,759.49",-3.82%
Sep 2002,"63,034.00",0.44%
Oct 2002,"63,392.03",0.57%
Nov 2002,"66,215.88",4.45%
Dec 2002,"66,192.43",-0.04%
Jan 2003,"66,060.96",-0.20%
Feb 2003,"67,887.93",2.77%
Mar 2003,"66,186.29",-2.51%
Apr 2003,"63,107.30",-4.65%
May 2003,"65,845.33",4.34%
Jun 2003,"65,869.60",0.04%
Jul 2003,"66,396.97",0.80%
Aug 2003,"66,896.33",0.75%
Sep 2003,"64,904.56",-2.98%
Oct 2003,"66,916.88",3.10%
Nov 2003,"68,659.64",2.60%
Dec 2003,"70,889.83",3.25%
Jan 2004,"73,013.37",3.00%
Feb 2004,"76,311.28",4.52%
Mar 2004,"74,543.99",-2.32%
Apr 2004,"75,993.24",1.94%
May 2004,"73,437.89",-3.36%
Jun 2004,"76,362.95",3.98%
Jul 2004,"78,701.01",3.06%
Aug 2004,"78,420.12",-0.36%
Sep 2004,"79,454.68",1.32%
Oct 2004,"83,306.62",4.85%
Nov 2004,"81,829.06",-1.77%
Dec 2004,"81,327.74",-0.61%
Jan 2005,"80,268.87",-1.30%
Feb 2005,"82,237.24",2.45%
Mar 2005,"86,499.65",5.18%
Apr 2005,"82,858.48",-4.21%
May 2005,"75,836.01",-8.48%
Jun 2005,"75,460.28",-0.50%
Jul 2005,"77,443.84",2.63%
Aug 2005,"81,486.22",5.22%
Sep 2005,"80,802.41",-0.84%
Oct 2005,"86,449.60",6.99%
Nov 2005,"93,765.51",8.46%
Dec 2005,"102,614.30",9.44%
Jan 2006,"105,573.40",2.88%
Feb 2006,"108,847.40",3.10%
Mar 2006,"108,036.80",-0.74%
