Month,Price,Change

Jan 1995,"1,163.96",-
Feb 1995,"1,179.81",1.36%
Mar 1995,"1,213.76",2.88%
Apr 1995,"1,165.46",-3.98%
May 1995,"1,218.00",4.51%
Jun 1995,"1,280.25",5.11%
Jul 1995,"1,288.09",0.61%
Aug 1995,"1,291.40",0.26%
Sep 1995,"1,361.43",5.42%
Oct 1995,"1,415.96",4.01%
Nov 1995,"1,375.64",-2.85%
Dec 1995,"1,375.66",0.00%
Jan 1996,"1,408.12",2.36%
Feb 1996,"1,438.08",2.13%
Mar 1996,"1,343.71",-6.56%
Apr 1996,"1,346.64",0.22%
May 1996,"1,336.64",-0.74%
Jun 1996,"1,336.60",0.00%
Jul 1996,"1,364.18",2.06%
Aug 1996,"1,368.79",0.34%
Sep 1996,"1,361.35",-0.54%
Oct 1996,"1,340.16",-1.56%
Nov 1996,"1,275.79",-4.80%
Dec 1996,"1,266.89",-0.70%
Jan 1997,"1,263.78",-0.24%
Feb 1997,"1,241.74",-1.74%
Mar 1997,"1,237.50",-0.34%
Apr 1997,"1,267.99",2.46%
May 1997,"1,279.70",0.92%
Jun 1997,"1,235.46",-3.46%
Jul 1997,"1,250.76",1.24%
Aug 1997,"1,326.75",6.08%
Sep 1997,"1,352.83",1.97%
Oct 1997,"1,345.93",-0.51%
Nov 1997,"1,248.33",-7.25%
Dec 1997,"1,231.55",-1.34%
Jan 1998,"1,235.83",0.35%
Feb 1998,"1,301.25",5.29%
Mar 1998,"1,259.39",-3.22%
Apr 1998,"1,236.42",-1.82%
May 1998,"1,222.46",-1.13%
Jun 1998,"1,267.43",3.68%
Jul 1998,"1,275.31",0.62%
Aug 1998,"1,119.78",-12.20%
Sep 1998,"1,151.89",2.87%
Oct 1998,"1,147.55",-0.38%
Nov 1998,"1,106.04",-3.62%
Dec 1998,"1,110.66",0.42%
Jan 1999,"1,109.46",-0.11%
Feb 1999,"1,108.48",-0.09%
Mar 1999,"1,107.60",-0.08%
Apr 1999,"1,115.15",0.68%
May 1999,"1,116.32",0.10%
Jun 1999,"1,125.88",0.86%
Jul 1999,"1,129.77",0.35%
Aug 1999,"1,134.33",0.40%
Sep 1999,"1,136.35",0.18%
Oct 1999,"1,112.43",-2.10%
Nov 1999,"1,089.29",-2.08%
Dec 1999,"1,091.47",0.20%
Jan 2000,"1,093.15",0.15%
Feb 2000,"1,094.68",0.14%
Mar 2000,"1,094.07",-0.06%
Apr 2000,"1,095.34",0.12%
May 2000,"1,125.64",2.77%
Jun 2000,"1,144.09",1.64%
Jul 2000,"1,146.32",0.19%
Aug 2000,"1,169.71",2.04%
Sep 2000,"1,245.89",6.51%
Oct 2000,"1,258.51",1.01%
Nov 2000,"1,270.14",0.92%
Dec 2000,"1,437.58",13.18%
Jan 2001,"1,493.93",3.92%
Feb 2001,"1,493.26",-0.05%
Mar 2001,"1,519.83",1.78%
Apr 2001,"1,567.33",3.13%
May 2001,"1,585.80",1.18%
Jun 2001,"1,593.48",0.48%
Jul 2001,"1,602.82",0.59%
Aug 2001,"1,592.87",-0.62%
Sep 2001,"1,562.79",-1.89%
Oct 2001,"1,555.86",-0.44%
Nov 2001,"1,411.12",-9.30%
Dec 2001,"1,310.53",-7.13%
Jan 2002,"1,321.98",0.87%
Feb 2002,"1,368.23",3.50%
Mar 2002,"1,354.96",-0.97%
Apr 2002,"1,325.23",-2.19%
May 2002,"1,317.12",-0.61%
Jun 2002,"1,219.13",-7.44%
Jul 2002,"1,128.89",-7.40%
Aug 2002,"1,081.14",-4.23%
Sep 2002,"1,099.61",1.71%
Oct 2002,"1,185.05",7.77%
Nov 2002,"1,182.25",-0.24%
Dec 2002,"1,179.37",-0.24%
Jan 2003,"1,193.46",1.19%
Feb 2003,"1,200.56",0.59%
Mar 2003,"1,162.44",-3.17%
Apr 2003,"1,111.00",-4.43%
May 2003,"1,097.04",-1.26%
Jun 2003,"1,125.98",2.64%
Jul 2003,"1,125.81",-0.01%
Aug 2003,"1,163.55",3.35%
