Month,Price,Change

Jun 2006,96.30,-
Jul 2006,102.99,6.95%
Aug 2006,104.57,1.53%
Sep 2006,83.48,-20.17%
Oct 2006,81.57,-2.29%
Nov 2006,81.24,-0.41%
Dec 2006,81.82,0.71%
Jan 2007,72.27,-11.66%
Feb 2007,77.68,7.48%
Mar 2007,83.25,7.17%
Apr 2007,86.54,3.94%
May 2007,83.38,-3.65%
Jun 2007,86.42,3.64%
Jul 2007,86.73,0.37%
Aug 2007,85.96,-0.89%
Sep 2007,93.59,8.87%
Oct 2007,95.50,2.05%
Nov 2007,106.49,11.50%
Dec 2007,103.77,-2.56%
Jan 2008,101.98,-1.73%
Feb 2008,110.21,8.07%
Mar 2008,131.28,19.12%
Apr 2008,137.83,4.99%
May 2008,160.96,16.79%
Jun 2008,166.44,3.40%
Jul 2008,164.71,-1.04%
Aug 2008,140.54,-14.67%
Sep 2008,138.56,-1.41%
Oct 2008,116.60,-15.85%
Nov 2008,94.23,-19.18%
Dec 2008,69.85,-25.88%
Jan 2009,73.06,4.60%
Feb 2009,64.28,-12.02%
Mar 2009,68.60,6.71%
Apr 2009,72.55,5.76%
May 2009,73.77,1.68%
Jun 2009,86.95,17.86%
Jul 2009,83.53,-3.93%
Aug 2009,93.11,11.47%
Sep 2009,86.95,-6.62%
Oct 2009,92.60,6.50%
Nov 2009,93.04,0.48%
Dec 2009,92.33,-0.77%
Jan 2010,94.88,2.77%
Feb 2010,94.27,-0.64%
Mar 2010,98.23,4.20%
Apr 2010,101.64,3.47%
May 2010,97.77,-3.81%
Jun 2010,98.16,0.40%
Jul 2010,96.84,-1.35%
Aug 2010,98.81,2.04%
Sep 2010,100.13,1.33%
Oct 2010,102.20,2.07%
Nov 2010,106.67,4.37%
Dec 2010,112.92,5.86%
Jan 2011,119.91,6.18%
Feb 2011,129.09,7.66%
Mar 2011,140.86,9.12%
Apr 2011,145.19,3.07%
May 2011,136.26,-6.15%
Jun 2011,136.98,0.53%
Jul 2011,140.80,2.79%
Aug 2011,136.29,-3.20%
Sep 2011,142.23,4.36%
Oct 2011,148.11,4.14%
Nov 2011,156.89,5.92%
Dec 2011,154.61,-1.45%
Jan 2012,157.78,2.05%
Feb 2012,158.45,0.43%
Mar 2012,166.17,4.87%
Apr 2012,167.95,1.07%
May 2012,162.30,-3.36%
Jun 2012,151.84,-6.45%
Jul 2012,162.19,6.82%
Aug 2012,176.62,8.90%
Sep 2012,176.17,-0.26%
Oct 2012,171.37,-2.72%
Nov 2012,174.01,1.54%
Dec 2012,167.67,-3.64%
Jan 2013,168.53,0.51%
