Month,Price,Change

Jan 1995,14.81,-
Feb 1995,14.65,-1.05%
Mar 1995,14.21,-3.02%
Apr 1995,15.71,10.53%
May 1995,16.05,2.21%
Jun 1995,15.01,-6.50%
Jul 1995,14.65,-2.37%
Aug 1995,15.67,6.93%
Sep 1995,17.06,8.90%
Oct 1995,17.35,1.68%
Nov 1995,18.21,4.94%
Dec 1995,19.33,6.18%
Jan 1996,19.67,1.75%
Feb 1996,20.39,3.66%
Mar 1996,20.18,-1.02%
Apr 1996,21.13,4.66%
May 1996,19.49,-7.74%
Jun 1996,18.05,-7.36%
Jul 1996,19.75,9.40%
Aug 1996,21.95,11.13%
Sep 1996,24.37,11.02%
Oct 1996,25.06,2.82%
Nov 1996,24.87,-0.74%
Dec 1996,24.84,-0.15%
Jan 1997,24.39,-1.78%
Feb 1997,22.21,-8.93%
Mar 1997,19.98,-10.06%
Apr 1997,19.38,-3.01%
May 1997,19.66,1.47%
Jun 1997,18.73,-4.75%
Jul 1997,19.15,2.27%
Aug 1997,20.08,4.85%
Sep 1997,19.70,-1.90%
Oct 1997,20.69,5.01%
Nov 1997,20.40,-1.40%
Dec 1997,19.45,-4.62%
Jan 1998,18.73,-3.70%
Feb 1998,17.47,-6.74%
Mar 1998,16.32,-6.62%
Apr 1998,16.89,3.54%
May 1998,16.79,-0.58%
Jun 1998,16.43,-2.15%
Jul 1998,16.41,-0.15%
Aug 1998,15.90,-3.11%
Sep 1998,17.86,12.33%
Oct 1998,17.78,-0.41%
Nov 1998,15.72,-11.60%
Dec 1998,12.94,-17.72%
Jan 1999,14.20,9.75%
Feb 1999,13.12,-7.57%
Mar 1999,16.04,22.23%
Apr 1999,18.37,14.53%
May 1999,17.75,-3.39%
Jun 1999,18.98,6.93%
Jul 1999,22.16,16.77%
Aug 1999,24.51,10.60%
Sep 1999,26.73,9.06%
Oct 1999,25.86,-3.28%
Nov 1999,28.69,10.95%
Dec 1999,30.48,6.26%
Jan 2000,34.01,11.58%
Feb 2000,34.02,0.01%
Mar 2000,33.61,-1.21%
Apr 2000,31.38,-6.64%
May 2000,33.51,6.79%
Jun 2000,35.08,4.71%
Jul 2000,35.64,1.60%
Aug 2000,41.12,15.37%
Sep 2000,46.67,13.49%
Oct 2000,45.52,-2.46%
Nov 2000,48.09,5.65%
Dec 2000,40.35,-16.11%
Jan 2001,40.49,0.36%
Feb 2001,37.91,-6.36%
Mar 2001,34.87,-8.02%
Apr 2001,36.03,3.31%
May 2001,38.52,6.92%
Jun 2001,36.05,-6.40%
Jul 2001,33.52,-7.03%
Aug 2001,36.00,7.42%
Sep 2001,35.16,-2.34%
Oct 2001,29.87,-15.06%
Nov 2001,26.06,-12.74%
Dec 2001,24.68,-5.32%
Jan 2002,25.76,4.40%
Feb 2002,26.83,4.14%
Mar 2002,30.71,14.45%
Apr 2002,32.73,6.58%
May 2002,32.63,-0.28%
Jun 2002,31.97,-2.03%
Jul 2002,33.70,5.39%
Aug 2002,35.08,4.11%
Sep 2002,38.75,10.46%
Oct 2002,38.21,-1.40%
Nov 2002,34.16,-10.59%
Dec 2002,39.04,14.27%
Jan 2003,42.51,8.90%
Feb 2003,50.36,18.46%
Mar 2003,42.54,-15.52%
Apr 2003,35.20,-17.26%
May 2003,33.62,-4.50%
Jun 2003,34.95,3.96%
Jul 2003,36.06,3.19%
Aug 2003,37.80,4.83%
Sep 2003,33.84,-10.49%
Oct 2003,37.22,10.00%
Nov 2003,37.83,1.63%
Dec 2003,39.94,5.58%
Jan 2004,45.36,13.57%
Feb 2004,42.24,-6.88%
Mar 2004,42.63,0.92%
Apr 2004,42.75,0.28%
May 2004,49.40,15.57%
Jun 2004,46.97,-4.92%
Jul 2004,52.72,12.24%
Aug 2004,56.86,7.86%
Sep 2004,62.79,10.42%
Oct 2004,69.59,10.84%
Nov 2004,60.77,-12.68%
Dec 2004,53.79,-11.48%
Jan 2005,58.37,8.52%
Feb 2005,58.27,-0.18%
Mar 2005,68.24,17.13%
Apr 2005,68.80,0.82%
May 2005,63.98,-7.02%
Jun 2005,72.09,12.68%
Jul 2005,72.49,0.55%
Aug 2005,81.75,12.78%
Sep 2005,98.02,19.90%
Oct 2005,107.48,9.65%
Nov 2005,77.64,-27.76%
Dec 2005,78.85,1.56%
Jan 2006,80.63,2.25%
Feb 2006,77.76,-3.56%
Mar 2006,83.39,7.25%
Apr 2006,93.23,11.79%
May 2006,94.00,0.83%
Jun 2006,95.84,1.96%
Jul 2006,100.07,4.41%
Aug 2006,99.27,-0.80%
Sep 2006,83.48,-15.91%
Oct 2006,79.07,-5.28%
Nov 2006,77.74,-1.69%
Dec 2006,80.79,3.93%
Jan 2007,73.34,-9.22%
Feb 2007,76.84,4.78%
Mar 2007,81.27,5.76%
Apr 2007,85.82,5.60%
May 2007,83.38,-2.84%
Jun 2007,85.56,2.62%
Jul 2007,86.37,0.95%
Aug 2007,85.39,-1.13%
Sep 2007,91.37,7.00%
Oct 2007,93.73,2.58%
Nov 2007,105.42,12.48%
Dec 2007,102.58,-2.69%
Jan 2008,102.57,-0.02%
Feb 2008,108.38,5.67%
Mar 2008,126.07,16.32%
Apr 2008,134.70,6.84%
May 2008,157.47,16.90%
Jun 2008,166.06,5.46%
Jul 2008,166.46,0.24%
Aug 2008,140.45,-15.62%
Sep 2008,153.78,9.49%
Oct 2008,112.61,-26.77%
Nov 2008,92.13,-18.19%
Dec 2008,66.88,-27.40%
Jan 2009,71.75,7.27%
Feb 2009,61.97,-13.62%
Mar 2009,65.01,4.90%
Apr 2009,68.55,5.44%
May 2009,72.22,5.36%
Jun 2009,86.23,19.40%
Jul 2009,83.05,-3.69%
Aug 2009,91.08,9.68%
Sep 2009,84.72,-6.98%
Oct 2009,90.73,7.10%
Nov 2009,92.49,1.93%
Dec 2009,92.28,-0.22%
Jan 2010,94.24,2.13%
Feb 2010,92.14,-2.23%
Mar 2010,95.91,4.09%
Apr 2010,99.81,4.07%
May 2010,94.42,-5.40%
Jun 2010,95.83,1.49%
Jul 2010,94.63,-1.25%
Aug 2010,97.00,2.50%
Sep 2010,97.32,0.33%
Oct 2010,99.85,2.60%
Nov 2010,104.25,4.41%
Dec 2010,110.80,6.28%
Jan 2011,118.86,7.28%
Feb 2011,129.05,8.57%
Mar 2011,140.59,8.95%
Apr 2011,145.01,3.14%
May 2011,138.50,-4.49%
Jun 2011,136.66,-1.33%
Jul 2011,139.06,1.76%
Aug 2011,136.20,-2.06%
Sep 2011,140.70,3.31%
Oct 2011,146.05,3.80%
Nov 2011,154.40,5.72%
Dec 2011,151.24,-2.05%
Jan 2012,158.14,4.56%
Feb 2012,157.67,-0.30%
Mar 2012,163.85,3.92%
Apr 2012,167.12,1.99%
May 2012,161.60,-3.30%
Jun 2012,150.05,-7.15%
Jul 2012,160.58,7.02%
Aug 2012,175.35,9.19%
Sep 2012,174.10,-0.71%
Oct 2012,164.75,-5.37%
Nov 2012,161.97,-1.69%
Dec 2012,160.57,-0.86%
Jan 2013,167.88,4.55%
Feb 2013,172.95,3.02%
Mar 2013,161.48,-6.63%
Apr 2013,152.69,-5.44%
May 2013,149.97,-1.78%
Jun 2013,161.51,7.70%
Jul 2013,173.00,7.11%
Aug 2013,189.82,9.72%
Sep 2013,186.86,-1.56%
Oct 2013,177.81,-4.85%
Nov 2013,177.47,-0.19%
