Commodity Name,Monthly Avg,1 Month Change,12 Month Change,Year to Date Change,URL
Commodity Agricultural Raw Materials Index,77.08,0.85%,1.88%,0.85%,https://www.indexmundi.com/commodities/?commodity=agricultural-raw-materials-price-index
Commodity Beverage Price Index,139.11,12.66%,35.61%,12.66%,https://www.indexmundi.com/commodities/?commodity=beverage-price-index
Commodity Price Index,159.24,0.00%,-8.78%,0.00%,https://www.indexmundi.com/commodities/?commodity=commodity-price-index
Commodity Fuel (energy) Index,102.26,1.07%,-7.48%,1.07%,https://www.indexmundi.com/commodities/?commodity=energy-price-index
Commodity Food and Beverage Price Index,138.54,1.64%,-1.37%,1.64%,https://www.indexmundi.com/commodities/?commodity=food-and-beverage-price-index
Commodity Food Price Index,116.57,-1.25%,-11.03%,-1.25%,https://www.indexmundi.com/commodities/?commodity=food-price-index
Commodity Industrial Inputs Price Index,162.25,-1.71%,-9.44%,-1.71%,https://www.indexmundi.com/commodities/?commodity=industrial-inputs-price-index
Commodity Metals Price Index,100.05,-1.94%,-10.70%,-1.94%,https://www.indexmundi.com/commodities/?commodity=metals-price-index
Commodity Non-Fuel Price Index,106.79,0.26%,-6.91%,0.26%,https://www.indexmundi.com/commodities/?commodity=non-fuel-price-index
"Crude Oil (petroleum), Price index",195.53,4.56%,0.99%,4.56%,https://www.indexmundi.com/commodities/?commodity=petroleum-price-index
"Coal, Australian thermal coal",124.22,-0.54%,-40.13%,-0.54%,https://www.indexmundi.com/commodities/?commodity=coal-australian
"Coal, South African export price",105.19,-1.46%,-27.29%,-1.46%,https://www.indexmundi.com/commodities/?commodity=coal-south-african
Crude Oil (petroleum),80.55,3.71%,0.37%,3.71%,https://www.indexmundi.com/commodities/?commodity=crude-oil
Crude Oil (petroleum); Dated Brent,83.76,4.40%,1.27%,4.40%,https://www.indexmundi.com/commodities/?commodity=crude-oil-brent
Crude Oil (petroleum); Dubai Fateh,81.18,2.94%,-0.04%,2.94%,https://www.indexmundi.com/commodities/?commodity=crude-oil-dubai
Crude Oil (petroleum); West Texas Intermediate,76.70,3.75%,-0.18%,3.75%,https://www.indexmundi.com/commodities/?commodity=crude-oil-west-texas-intermediate
Diesel,2.77,3.36%,-2.15%,3.36%,https://www.indexmundi.com/commodities/?commodity=diesel
Gasoline,2.33,3.65%,-8.14%,3.65%,https://www.indexmundi.com/commodities/?commodity=gasoline
Heating Oil,2.70,4.36%,2.19%,4.36%,https://www.indexmundi.com/commodities/?commodity=heating-oil
Indonesian Liquified Natural Gas,14.21,-0.91%,-22.86%,-0.91%,https://www.indexmundi.com/commodities/?commodity=indonesian-liquified-natural-gas
