Month    ,Price        ,Change

Apr 2004 ,"17,716.56"  ,-
May 2004 ,"17,363.02"  ,-2.00%
Jun 2004 ,"17,859.08"  ,2.86%
Jul 2004 ,"18,329.51"  ,2.63%
Aug 2004 ,"18,560.59"  ,1.26%
Sep 2004 ,"18,682.64"  ,0.66%
Oct 2004 ,"19,250.21"  ,3.04%
Nov 2004 ,"19,821.41"  ,2.97%
Dec 2004 ,"19,442.87"  ,-1.91%
Jan 2005 ,"18,554.21"  ,-4.57%
Feb 2005 ,"18,490.66"  ,-0.34%
Mar 2005 ,"18,954.91"  ,2.51%
Apr 2005 ,"18,775.03"  ,-0.95%
May 2005 ,"18,347.73"  ,-2.28%
Jun 2005 ,"18,770.71"  ,2.31%
Jul 2005 ,"18,480.74"  ,-1.54%
Aug 2005 ,"19,105.09"  ,3.38%
Sep 2005 ,"20,028.12"  ,4.83%
Oct 2005 ,"21,062.09"  ,5.16%
Nov 2005 ,"21,796.27"  ,3.49%
Dec 2005 ,"23,290.20"  ,6.85%
Jan 2006 ,"24,412.96"  ,4.82%
Feb 2006 ,"24,603.73"  ,0.78%
Mar 2006 ,"24,776.86"  ,0.70%
Apr 2006 ,"27,448.36"  ,10.78%
May 2006 ,"30,668.85"  ,11.73%
Jun 2006 ,"27,455.96"  ,-10.48%
Jul 2006 ,"29,439.75"  ,7.23%
Aug 2006 ,"29,440.16"  ,0.00%
Sep 2006 ,"27,589.09"  ,-6.29%
Oct 2006 ,"26,634.49"  ,-3.46%
Nov 2006 ,"28,162.57"  ,5.74%
Dec 2006 ,"28,110.36"  ,-0.19%
Jan 2007 ,"27,985.75"  ,-0.44%
Feb 2007 ,"29,356.92"  ,4.90%
Mar 2007 ,"28,832.30"  ,-1.79%
Apr 2007 ,"28,636.16"  ,-0.68%
May 2007 ,"27,220.91"  ,-4.94%
Jun 2007 ,"26,726.01"  ,-1.82%
Jul 2007 ,"26,892.24"  ,0.62%
Aug 2007 ,"27,160.45"  ,1.00%
Sep 2007 ,"28,748.30"  ,5.85%
Oct 2007 ,"29,816.65"  ,3.72%
Nov 2007 ,"31,798.50"  ,6.65%
Dec 2007 ,"31,678.21"  ,-0.38%
Jan 2008 ,"35,025.98"  ,10.57%
Feb 2008 ,"36,642.54"  ,4.62%
Mar 2008 ,"39,082.61"  ,6.66%
Apr 2008 ,"36,416.20"  ,-6.82%
May 2008 ,"37,435.25"  ,2.80%
Jun 2008 ,"38,087.96"  ,1.74%
Jul 2008 ,"40,256.48"  ,5.69%
Aug 2008 ,"36,027.07"  ,-10.51%
Sep 2008 ,"37,814.93"  ,4.96%
Oct 2008 ,"39,235.79"  ,3.76%
Nov 2008 ,"37,284.68"  ,-4.97%
Dec 2008 ,"39,696.17"  ,6.47%
Jan 2009 ,"41,938.42"  ,5.65%
Feb 2009 ,"46,416.55"  ,10.68%
Mar 2009 ,"47,387.32"  ,2.09%
Apr 2009 ,"44,573.36"  ,-5.94%
May 2009 ,"45,071.10"  ,1.12%
Jun 2009 ,"45,178.09"  ,0.24%
Jul 2009 ,"45,317.38"  ,0.31%
Aug 2009 ,"45,873.04"  ,1.23%
Sep 2009 ,"48,273.77"  ,5.23%
Oct 2009 ,"48,737.54"  ,0.96%
Nov 2009 ,"52,485.13"  ,7.69%
Dec 2009 ,"52,911.99"  ,0.81%
Jan 2010 ,"51,344.37"  ,-2.96%
Feb 2010 ,"50,745.73"  ,-1.17%
Mar 2010 ,"50,654.74"  ,-0.18%
Apr 2010 ,"51,115.50"  ,0.91%
May 2010 ,"55,173.16"  ,7.94%
Jun 2010 ,"57,410.36"  ,4.05%
Jul 2010 ,"55,917.02"  ,-2.60%
Aug 2010 ,"56,616.02"  ,1.25%
Sep 2010 ,"58,511.91"  ,3.35%
Oct 2010 ,"59,609.17"  ,1.88%
Nov 2010 ,"61,476.63"  ,3.13%
