Month,Price,Change

Jan 1995,66.20,-
Feb 1995,69.97,5.70%
Mar 1995,77.22,10.36%
Apr 1995,78.85,2.10%
May 1995,79.48,0.80%
Jun 1995,62.80,-20.98%
Jul 1995,60.56,-3.57%
Aug 1995,59.39,-1.93%
Sep 1995,66.86,12.58%
Oct 1995,69.47,3.90%
Nov 1995,68.45,-1.46%
Dec 1995,67.82,-0.92%
Jan 1996,67.96,0.20%
Feb 1996,68.46,0.75%
Mar 1996,63.03,-7.93%
Apr 1996,62.66,-0.60%
May 1996,64.03,2.19%
Jun 1996,64.03,0.00%
Jul 1996,62.52,-2.35%
Aug 1996,59.96,-4.10%
Sep 1996,59.31,-1.08%
Oct 1996,59.17,-0.25%
Nov 1996,60.04,1.47%
Dec 1996,62.72,4.46%
Jan 1997,63.14,0.67%
Feb 1997,63.52,0.61%
Mar 1997,63.85,0.51%
Apr 1997,62.33,-2.38%
May 1997,62.68,0.57%
Jun 1997,63.74,1.70%
Jul 1997,63.97,0.35%
Aug 1997,64.31,0.53%
Sep 1997,64.09,-0.34%
Oct 1997,61.95,-3.34%
Nov 1997,63.16,1.95%
Dec 1997,64.32,1.84%
Jan 1998,62.58,-2.71%
Feb 1998,59.15,-5.48%
Mar 1998,59.65,0.85%
Apr 1998,57.50,-3.61%
May 1998,57.33,-0.30%
Jun 1998,64.22,12.02%
Jul 1998,65.47,1.95%
Aug 1998,64.11,-2.07%
Sep 1998,62.08,-3.16%
Oct 1998,57.59,-7.23%
Nov 1998,52.55,-8.75%
Dec 1998,52.34,-0.39%
Jan 1999,52.28,-0.11%
Feb 1999,52.66,0.72%
Mar 1999,53.05,0.73%
Apr 1999,54.26,2.29%
May 1999,56.46,4.05%
Jun 1999,55.65,-1.44%
Jul 1999,51.94,-6.66%
Aug 1999,48.68,-6.29%
Sep 1999,47.46,-2.51%
Oct 1999,45.63,-3.86%
Nov 1999,44.27,-2.98%
Dec 1999,42.18,-4.71%
Jan 2000,45.73,8.41%
Feb 2000,51.46,12.54%
Mar 2000,54.92,6.72%
Apr 2000,56.29,2.50%
May 2000,58.48,3.88%
Jun 2000,58.55,0.11%
Jul 2000,57.76,-1.33%
Aug 2000,61.23,6.00%
Sep 2000,62.41,1.93%
Oct 2000,62.11,-0.47%
Nov 2000,65.96,6.20%
Dec 2000,67.79,2.77%
Jan 2001,65.62,-3.20%
Feb 2001,61.87,-5.72%
Mar 2001,55.94,-9.58%
Apr 2001,52.87,-5.50%
May 2001,51.61,-2.38%
Jun 2001,49.36,-4.37%
Jul 2001,47.14,-4.49%
Aug 2001,45.24,-4.03%
Sep 2001,43.36,-4.16%
Oct 2001,39.38,-9.18%
Nov 2001,40.32,2.39%
Dec 2001,45.52,12.91%
Jan 2002,46.40,1.94%
Feb 2002,45.77,-1.36%
Mar 2002,45.33,-0.97%
Apr 2002,44.52,-1.79%
May 2002,43.12,-3.14%
Jun 2002,47.00,9.00%
Jul 2002,50.23,6.86%
Aug 2002,52.96,5.45%
Sep 2002,52.32,-1.22%
Oct 2002,52.72,0.78%
Nov 2002,55.49,5.26%
Dec 2002,58.73,5.83%
Jan 2003,59.91,2.02%
Feb 2003,61.58,2.78%
Mar 2003,64.32,4.44%
Apr 2003,63.49,-1.29%
May 2003,60.27,-5.07%
Jun 2003,60.27,0.01%
Jul 2003,61.49,2.03%
Aug 2003,61.09,-0.65%
Sep 2003,64.65,5.82%
Oct 2003,72.62,12.34%
Nov 2003,77.38,6.55%
Dec 2003,73.86,-4.56%
Jan 2004,75.90,2.77%
Feb 2004,73.79,-2.78%
Mar 2004,71.57,-3.01%
Apr 2004,67.22,-6.09%
May 2004,69.67,3.65%
Jun 2004,64.63,-7.23%
Jul 2004,58.01,-10.24%
Aug 2004,55.15,-4.94%
Sep 2004,57.16,3.65%
Oct 2004,53.11,-7.09%
Nov 2004,48.72,-8.26%
Dec 2004,47.06,-3.41%
Jan 2005,49.45,5.07%
Feb 2005,50.67,2.47%
Mar 2005,54.18,6.93%
Apr 2005,55.11,1.73%
May 2005,53.49,-2.94%
Jun 2005,51.87,-3.04%
Jul 2005,52.68,1.57%
Aug 2005,51.91,-1.45%
Sep 2005,53.14,2.36%
Oct 2005,57.37,7.97%
Nov 2005,57.16,-0.38%
Dec 2005,57.07,-0.15%
Jan 2006,57.27,0.35%
Feb 2006,58.52,2.17%
Mar 2006,56.48,-3.47%
Apr 2006,55.74,-1.32%
May 2006,54.49,-2.24%
