Month,Price,Change

Jan 1995,"11,876.44",-
Feb 1995,"11,818.17",-0.49%
Mar 1995,"12,093.93",2.33%
Apr 1995,"12,283.82",1.57%
May 1995,"12,102.10",-1.48%
Jun 1995,"12,170.09",0.56%
Jul 1995,"12,119.35",-0.42%
Aug 1995,"12,120.14",0.01%
Sep 1995,"12,741.53",5.13%
Oct 1995,"13,241.70",3.93%
Nov 1995,"13,388.42",1.11%
Dec 1995,"13,544.71",1.17%
Jan 1996,"14,286.80",5.48%
Feb 1996,"14,818.69",3.72%
Mar 1996,"13,647.55",-7.90%
Apr 1996,"13,450.99",-1.44%
May 1996,"13,713.83",1.95%
Jun 1996,"13,480.39",-1.70%
Jul 1996,"13,622.95",1.06%
Aug 1996,"13,825.26",1.49%
Sep 1996,"13,689.98",-0.98%
Oct 1996,"13,582.29",-0.79%
Nov 1996,"13,502.97",-0.58%
Dec 1996,"13,224.34",-2.06%
Jan 1997,"12,738.64",-3.67%
Feb 1997,"12,438.24",-2.36%
Mar 1997,"12,619.24",1.46%
Apr 1997,"12,338.59",-2.22%
May 1997,"12,314.94",-0.19%
Jun 1997,"12,202.78",-0.91%
Jul 1997,"11,582.07",-5.09%
Aug 1997,"11,640.38",0.50%
Sep 1997,"11,755.57",0.99%
Oct 1997,"11,769.89",0.12%
Nov 1997,"11,370.19",-3.40%
Dec 1997,"11,324.79",-0.40%
Jan 1998,"11,378.25",0.47%
Feb 1998,"11,576.23",1.74%
Mar 1998,"11,690.84",0.99%
Apr 1998,"12,225.02",4.57%
May 1998,"12,075.24",-1.23%
Jun 1998,"12,349.86",2.27%
Jul 1998,"12,450.03",0.81%
Aug 1998,"12,142.73",-2.47%
Sep 1998,"12,287.69",1.19%
Oct 1998,"12,531.16",1.98%
Nov 1998,"12,463.97",-0.54%
Dec 1998,"12,412.18",-0.42%
Jan 1999,"12,203.20",-1.68%
Feb 1999,"12,203.06",0.00%
Mar 1999,"12,135.19",-0.56%
Apr 1999,"12,075.25",-0.49%
May 1999,"11,823.60",-2.08%
Jun 1999,"11,272.20",-4.66%
Jul 1999,"11,084.77",-1.66%
Aug 1999,"11,155.98",0.64%
Sep 1999,"11,526.30",3.32%
Oct 1999,"13,502.09",17.14%
Nov 1999,"12,723.39",-5.77%
Dec 1999,"12,309.24",-3.26%
Jan 2000,"12,382.68",0.60%
Feb 2000,"13,077.75",5.61%
Mar 2000,"12,483.33",-4.55%
Apr 2000,"12,205.39",-2.23%
May 2000,"12,100.23",-0.86%
Jun 2000,"12,769.55",5.53%
Jul 2000,"12,609.06",-1.26%
Aug 2000,"12,541.03",-0.54%
Sep 2000,"12,558.90",0.14%
Oct 2000,"12,515.53",-0.35%
Nov 2000,"12,444.55",-0.57%
Dec 2000,"12,690.44",1.98%
Jan 2001,"12,355.90",-2.64%
Feb 2001,"12,181.90",-1.41%
Mar 2001,"12,262.59",0.66%
Apr 2001,"12,186.79",-0.62%
May 2001,"12,778.39",4.85%
Jun 2001,"12,702.23",-0.60%
Jul 2001,"12,611.85",-0.71%
Aug 2001,"12,836.74",1.78%
Sep 2001,"13,503.83",5.20%
Oct 2001,"13,592.68",0.66%
Nov 2001,"13,254.95",-2.48%
Dec 2001,"13,217.92",-0.28%
Jan 2002,"13,606.99",2.94%
Feb 2002,"14,388.34",5.74%
Mar 2002,"14,332.32",-0.39%
