Month,Price,Change

Jan 1995,"20,913.58",-
Feb 1995,"18,196.04",-12.99%
Mar 1995,"18,533.99",1.86%
Apr 1995,"19,115.42",3.14%
May 1995,"18,739.70",-1.97%
Jun 1995,"19,211.63",2.52%
Jul 1995,"19,514.33",1.58%
Aug 1995,"19,699.52",0.95%
Sep 1995,"19,714.68",0.08%
Oct 1995,"22,087.94",12.04%
Nov 1995,"24,795.56",12.26%
Dec 1995,"25,576.37",3.15%
Jan 1996,"25,376.11",-0.78%
Feb 1996,"28,179.53",11.05%
Mar 1996,"28,172.76",-0.02%
Apr 1996,"27,905.19",-0.95%
May 1996,"29,399.02",5.35%
Jun 1996,"27,869.12",-5.20%
Jul 1996,"27,841.30",-0.10%
Aug 1996,"29,113.89",4.57%
Sep 1996,"28,456.17",-2.26%
Oct 1996,"26,443.17",-7.07%
Nov 1996,"25,608.64",-3.16%
Dec 1996,"24,685.44",-3.61%
Jan 1997,"24,834.45",0.60%
Feb 1997,"23,693.59",-4.59%
Mar 1997,"24,914.94",5.15%
Apr 1997,"23,013.74",-7.63%
May 1997,"22,155.72",-3.73%
Jun 1997,"22,019.86",-0.61%
Jul 1997,"22,667.40",2.94%
Aug 1997,"21,846.60",-3.62%
Sep 1997,"23,098.19",5.73%
Oct 1997,"21,748.60",-5.84%
Nov 1997,"20,931.79",-3.76%
Dec 1997,"20,654.00",-1.33%
Jan 1998,"20,922.45",1.30%
Feb 1998,"20,094.67",-3.96%
Mar 1998,"22,114.39",10.05%
Apr 1998,"22,710.01",2.69%
May 1998,"21,942.13",-3.38%
Jun 1998,"22,319.47",1.72%
Jul 1998,"23,219.20",4.03%
Aug 1998,"22,938.30",-1.21%
Sep 1998,"22,119.38",-3.57%
Oct 1998,"20,867.62",-5.66%
Nov 1998,"20,942.78",0.36%
Dec 1998,"21,332.37",1.86%
Jan 1999,"20,926.69",-1.90%
Feb 1999,"21,817.11",4.25%
Mar 1999,"21,549.34",-1.23%
Apr 1999,"22,187.67",2.96%
May 1999,"23,160.47",4.38%
Jun 1999,"21,400.40",-7.60%
Jul 1999,"21,461.38",0.28%
Aug 1999,"21,865.18",1.88%
Sep 1999,"22,086.92",1.01%
Oct 1999,"21,601.09",-2.20%
Nov 1999,"20,757.21",-3.91%
Dec 1999,"20,833.56",0.37%
Jan 2000,"20,560.85",-1.31%
Feb 2000,"19,730.46",-4.04%
Mar 2000,"19,235.64",-2.51%
Apr 2000,"18,376.38",-4.47%
May 2000,"18,120.22",-1.39%
Jun 2000,"18,752.32",3.49%
Jul 2000,"20,244.18",7.96%
Aug 2000,"21,616.80",6.78%
Sep 2000,"22,352.53",3.40%
Oct 2000,"22,532.59",0.81%
Nov 2000,"21,894.10",-2.83%
Dec 2000,"21,612.78",-1.28%
Jan 2001,"22,250.77",2.95%
Feb 2001,"23,343.18",4.91%
Mar 2001,"23,235.66",-0.46%
Apr 2001,"22,340.26",-3.85%
May 2001,"21,896.29",-1.99%
Jun 2001,"20,875.04",-4.66%
Jul 2001,"21,760.66",4.24%
